53,0.9
59,0.4
36,0.0
24,0.8
37,0.5
51,0.1
36,0.2
44,0.0
18,0.1
63,0.0
73,0.1
80,0.4
55,0.4
21,0.3
51,0.9
23,0.7
34,0.5
51,1.0
30,0.6
64,0.0
34,0.2
27,0.3
36,0.5
62,0.9
29,0.0
48,0.1
27,0.1
27,0.8
24,0.3
29,0.3
76,0.2
27,0.9
35,0.8
25,1.0
44,0.1
20,1.0
69,0.6
41,0.0
60,0.9
56,0.8
78,0.5
19,0.0
66,0.3
51,0.8
40,0.2
21,0.8
55,0.3
37,0.9
40,0.5
23,0.4
56,0.5
24,0.2
19,0.9
53,0.8
18,0.0
37,1.0
44,0.7
59,1.0
73,0.9
20,0.5
77,0.3
31,0.0
59,0.8
33,0.0
45,0.6
31,0.0
55,0.5
49,0.0
63,0.6
22,0.6
64,0.3
21,0.0
28,0.6
79,0.7
66,0.5
66,0.5
28,0.9
28,0.8
40,0.2
20,0.3
52,0.4
57,0.6
34,0.8
35,1.0
69,0.3
48,0.3
72,0.6
67,0.2
43,0.2
48,0.9
29,0.8
74,0.0
79,0.7
41,0.0
30,0.9
47,0.2
22,1.0
75,0.6
36,0.9
80,0.0
